1763.5 0.01
1768 0.01
1804.2 0.01
2179 0.02
2191 0.02
2195.2 0.02
2489 0.03
2507.5 0.03
2513.5 0.03
2719 0.04
2730 0.04
2741.5 0.04
2899.8 0.05
2900 0.05
2923.2 0.05
3044.8 0.06
3059.2 0.06
3080.8 0.06
3180.2 0.07
3208.8 0.07
3231.8 0.07
3311.8 0.08
3347 0.08
3377.2 0.08
3438 0.09
3476 0.09
3513.8 0.09
3556.2 0.1
3596.5 0.1
3637.8 0.1
3665.2 0.11
3708.2 0.11
3749.2 0.11
3767.5 0.12
3815.2 0.12
3855 0.12
3861.5 0.13
3915.5 0.13
3948.2 0.14
3953.2 0.13
4011.2 0.14
4032.5 0.15
4047.8 0.14
4103.2 0.15
4114 0.16
4137.8 0.15
4192 0.16
4193.8 0.17
4226.2 0.16
4270.8 0.18
4278 0.17
4313 0.17
4347.5 0.19
4361 0.18
4395.5 0.18
4423.8 0.2
4440.5 0.19
4476.8 0.19
4496.8 0.21
4518 0.2
4555.2 0.2
4567.8 0.22
4594.2 0.21
4630.2 0.21
4636 0.23
4668 0.22
4703 0.24
4704 0.22
4740.8 0.23
4767.8 0.25
4774 0.23
4810.2 0.24
4830 0.26
4843.2 0.24
4879 0.25
4891.2 0.27
4910 0.25
4946.5 0.26
4952.8 0.28
4977.5 0.26
5012.5 0.27
5013 0.29
5045.2 0.27
5072.5 0.3
5077.5 0.28
5111.5 0.28
5132.8 0.31
5142.5 0.29
5177.5 0.29
5191.8 0.32
5207.8 0.3
5244.2 0.3
5252 0.33
5273.2 0.31
5310.5 0.325
5338 0.32
5369.8 0.35
5376.2 0.32
5402.2 0.33
5428.2 0.36
5442.8 0.33
5467.2 0.34
5487.2 0.37
5508.5 0.34
5531.2 0.35
5546.8 0.38
5574.5 0.35
5595.8 0.36
5606 0.39
5641.2 0.36
5660.5 0.37
5665.5 0.4
5707.5 0.37
5725.2 0.41
5726 0.38
5774.5 0.38
5786.2 0.42
5790.2 0.39
5841 0.39
5845.8 0.43
5853.2 0.4
5906 0.44
5906.8 0.4
5917.5 0.41
5966 0.45
5973.8 0.41
5982.8 0.42
6026.2 0.46
6042 0.42
6047.5 0.43
6088 0.47
6109.5 0.43
6113.2 0.44
6149.8 0.48
6178.8 0.44
6179.5 0.45
6213 0.49
6245.8 0.46
6248 0.45
6275.5 0.5
6313 0.47
6316.5 0.46
6339.2 0.51
6379.8 0.48
6387.2 0.47
6402.8 0.52
6446.8 0.49
6458.2 0.48
6467.2 0.53
6513.8 0.5
6529 0.49
6532.5 0.54
6581.2 0.51
6599 0.55
6600.2 0.5
6650.8 0.52
6666 0.56
6673 0.51
6720.2 0.53
6734.5 0.57
6746.5 0.52
6788.8 0.54
6805 0.58
6821.5 0.53
6858.5 0.55
6877 0.59
6898 0.54
6928 0.56
6950.8 0.6
6975.5 0.55
6999.5 0.57
7024.8 0.61
7054.2 0.56
7070.5 0.58
7100.8 0.62
7134 0.57
7142.2 0.59
7177.5 0.63
7213.5 0.58
7214.2 0.6
7254.8 0.64
7285.2 0.61
7294 0.59
7331.5 0.65
7357.2 0.62
7374.8 0.6
7409.2 0.66
7429.5 0.63
7456 0.61
7487.2 0.67
7501.5 0.64
7536 0.62
7564.2 0.68
7574.8 0.65
7614.2 0.63
7641 0.69
7648.2 0.66
7690.8 0.64
7716.8 0.7
7721.2 0.67
7765.2 0.65
7791.2 0.71
7794.2 0.68
7841.2 0.66
7865 0.72
7866 0.69
7915.2 0.67
7938.5 0.7
7938.8 0.73
7990 0.68
8012.2 0.74
8012.8 0.71
8064.8 0.69
8087.8 0.75
8088 0.72
8140.5 0.7
8163 0.73
8165.5 0.76
8218 0.71
8239 0.74
8243.2 0.77
8297.5 0.72
8315 0.75
8321.8 0.78
8378.5 0.73
8391.8 0.76
8403.2 0.79
8460.2 0.74
8469 0.77
8484.8 0.8
8540 0.75
8548 0.78
8568.2 0.81
8620.8 0.76
8628.8 0.79
8652.2 0.82
8705 0.77
8710 0.8
8737 0.83
8789 0.78
8793.8 0.81
8824.8 0.84
8874.8 0.79
8880.8 0.82
8916.2 0.85
8962 0.8
8969.5 0.83
9010 0.86
9053.2 0.81
9062 0.84
9110.5 0.87
9148 0.82
9157.8 0.85
9217.5 0.88
9247.5 0.83
9257 0.86
9330.5 0.89
9351.8 0.84
9361.2 0.87
9451.8 0.9
9460.2 0.85
9471.2 0.88
9573 0.86
9579.8 0.91
9586.8 0.89
9690 0.87
9709 0.9
9717.8 0.92
9813.8 0.88
9842.5 0.91
9868.8 0.93
9945.5 0.89
9985 0.92
10039 0.94
10091.2 0.9
10142.5 0.93
10234.5 0.95
10248.5 0.91
10322 0.94
10428.8 0.92
10474.5 0.96
10527.5 0.95
10634 0.93
10772.8 0.97
10782 0.96
10881.8 0.94
11105.8 0.97
11195 0.95
11223.8 0.98
11579.8 0.98
11623.8 0.96
12172.2 0.99
12327.8 0.97
12362.2 0.991
12603.8 0.992
12632 0.99
12865 0.991
12971.8 0.993
13172.2 0.992
13501.8 0.994
13660.5 0.993
14122.5 0.98
14482.5 0.995
14515.8 0.994
16493.8 0.996
16836.8 0.995
25203.2 0.997
26951.5 0.996
33249 0.99
51126.2 0.997
57616.2 0.991
65628.2 0.998
97809.8 0.998
115584 0.992
302429.5 0.993
536104.8 0.999
632199.5 0.994
823380 0.999
1070908.2 0.995
1753468.2 0.996
2538701.5 0.997
4023636.8 0.998
4823775.2 1.0
7737812.5 1.0
9126212.8 0.999
26218735.5 1.0
